2026-01-02 16:32:16 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:32:17 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/analysis_product_TN448761600.0_TX448848000.0_EN00100_EX10000_ID01.cts.png | (PlottingUtils.py:178)
2026-01-02 16:32:18 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:32:19 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/analysis_product_TN448761600.0_TX448848000.0_EN00100_EX10000_ID01.exp.png | (PlottingUtils.py:178)
2026-01-02 16:32:19 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:32:20 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/analysis_product_TN448761600.0_TX448848000.0_EN00100_EX10000_ID01.gas.png | (PlottingUtils.py:178)
2026-01-02 16:32:20 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:32:21 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/analysis_product_TN448761600.0_TX448848000.0_EN00100_EX10000_ID01.int.png | (PlottingUtils.py:178)
2026-01-02 16:33:16 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 16:34:27 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 16:36:31 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_58199_58200/analyser_AGLJ1736-3250_20260102-163201/plots/LightCurve.png | (PlottingUtils.py:423)
