2026-01-02 16:23:36 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:23:37 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/analysis_product_TN416275200.0_TX416361600.0_EN00100_EX10000_ID01.cts.png | (PlottingUtils.py:178)
2026-01-02 16:23:38 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:23:38 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/analysis_product_TN416275200.0_TX416361600.0_EN00100_EX10000_ID01.exp.png | (PlottingUtils.py:178)
2026-01-02 16:23:39 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:23:40 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/analysis_product_TN416275200.0_TX416361600.0_EN00100_EX10000_ID01.gas.png | (PlottingUtils.py:178)
2026-01-02 16:23:41 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 16:23:41 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/analysis_product_TN416275200.0_TX416361600.0_EN00100_EX10000_ID01.int.png | (PlottingUtils.py:178)
2026-01-02 16:24:44 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 16:26:00 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 16:27:55 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_57823_57824/analyser_AGLJ1736-3250_20260102-162317/plots/LightCurve.png | (PlottingUtils.py:423)
