2026-01-02 15:41:34 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 15:41:35 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/analysis_product_TN181008000.0_TX181094400.0_EN00100_EX10000_ID01.cts.png | (PlottingUtils.py:178)
2026-01-02 15:41:36 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 15:41:37 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/analysis_product_TN181008000.0_TX181094400.0_EN00100_EX10000_ID01.exp.png | (PlottingUtils.py:178)
2026-01-02 15:41:37 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 15:41:38 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/analysis_product_TN181008000.0_TX181094400.0_EN00100_EX10000_ID01.gas.png | (PlottingUtils.py:178)
2026-01-02 15:41:38 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-02 15:41:39 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/analysis_product_TN181008000.0_TX181094400.0_EN00100_EX10000_ID01.int.png | (PlottingUtils.py:178)
2026-01-02 15:42:17 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 15:43:04 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-02 15:44:21 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /home/flareadvocate/workspace/IGRJ17354-3255/AGILE_detection_AGLJ1736-3250/results/MJD_55100_55101/analyser_AGLJ1736-3250_20260102-154125/plots/LightCurve.png | (PlottingUtils.py:423)
